5101.MY,Evergreen Fibreboard Bhd
5102.MY,Guan Chong Bhd.
5104.MY,CNI
5105.MY,Can-One Berhad
5106.MY,Axis Real Estate Investment Trust
5107.MY,IQ Group Holdings Berhad
5108.MY,iCapital.biz Berhad
5109.MY,YTL Hospitality REIT
5110.MY,Uoa Real Estate Investment
5111.MY,Tower Real Estate Investment Trust
5112.MY,TH Plantations Berhad
5113.MY,Rimbunan Sawit Berhad
5115.MY,Alam Maritim Resources Berhad
5116.MY,Al-&apos;Aqar Healthcare REIT
5120.MY,AmFirst Real Estate Investment Trust
5121.MY,Hektar Real Estate Investment Trust
5123.MY,MRCB-Quill REIT
5125.MY,Pantech Group Holdings Bhd
5126.MY,Sarawak Oil Palms Bhd
5127.MY,AmanahRaya Real Estate Investment Trust
5129.MY,Melati Ehsan Holdings Berhad
5130.MY,Atrium Real Estate Investment Trust
5131.MY,Zhulian Corporation Berhad
5132.MY,DELEUM
5133.MY,Petra Energy Berhad
5134.MY,Southern Acids M Bhd
5135.MY,SARAWAK Plantation Bhd
5136.MY,Complete Logistic Services Berhad
5138.MY,Hap Seng Plantations Holdings Bhd
5139.MY,Aeon Credit Service M Bhd
5140.MY,TASCO Berhad
5141.MY,Dayang Enterprise Holdings Berhad
5142.MY,Wah Seong Corporation Berhad
5143.MY,Luxchem Corporation Bhd
5145.MY,Sealink International Bhd
5147.MY,Samchem Holdings Bhd
5148.MY,UEM Sunrise Berhad
5149.MY,TAS Offshore Berhad
5151.MY,Halex Holdings Berhad
5152.MY,Muar Ban Lee Group Berhad
5156.MY,XiDeLang Holdings Limited
5157.MY,Saudee Group Berhad
5159.MY,YOCB
5160.MY,Homeritz Corporation Berhad
5161.MY,JCY International Berhad
5162.MY,ECS ICT Berhad
5163.MY,Seremban Engineering Berhad
5165.MY,Hock Heng Stone Industries Bhd
5166.MY,MINDA
5168.MY,Hartalega Holdings Berhad
5169.MY,Ho Hup Construction Company Berhad
5170.MY,Sarawak Cable Berhad
5171.MY,Kimlun Corporation Berhad
5172.MY,K-Star Sports Limited
5173.MY,Shin Yang Shipping Corporation Berhad
5175.MY,Ivory Properties Group Berhad
5176.MY,Sunway Real Estate Investment Trust
5178.MY,Tatt Giap Group Berhad
5180.MY,CMMT
5182.MY,MCT Berhad
5183.MY,PCHEM
5184.MY,Cypark Resources Berhad
5185.MY,Affin Holdings Bhd
5186.MY,Malaysia Marine and Heavy Engineering Holdings Berhad
5187.MY,HB Global Limited
5188.MY,China Ouhua Winery Holdings Limited
5190.MY,Benalec Holdings Berhad
5191.MY,Tambun Indah Land Berhad
5192.MY,K.Seng Seng Corporation Bhd.
5195.MY,Censof Holdings Berhad
5196.MY,Berjaya Food Berhad
5197.MY,Focus Lumber Berhad.
5198.MY,ABM Fujiya Berhad
5199.MY,Hibiscus Petroleum Berhad
5200.MY,UOA Development Bhd
5202.MY,MSM
5204.MY,Prestariang Berhad
5205.MY,SENDAI
5207.MY,SBC Corporation Berhad
5208.MY,EITA Resources Berhad
5209.MY,Gas Malaysia Berhad
5210.MY,Bumi Armada Berhad
5211.MY,Sunway Berhad
5211PA.MY,SUNWAY-PA
5212.MY,Pavilion Real Estate Investment Trust
5213.MY,Sentoria Group Berhad
5216.MY,DSONIC
5218.MY,SapuraKencana Petroleum Berhad
5218PA.MY,SAPNRG-PA
5219.MY,Pestech International Berhad
5220.MY,Globaltec Formation Berhad
5222.MY,Felda Global Ventures Holdings Berhad
5225.MY,IHH Healthcare Berhad
5226.MY,Gabungan AQRS Berhad
5227.MY,IGB Real Estate Investment Trust
5228.MY,ELK-Desa Resources Berhad
5230.MY,Tune Protect Group Berhad
5231.MY,Pelikan International Corporation Berhad
5232.MY,Leon Fuat Berhad
5235SS.MY,KLCC Real Estate Investment Trust
5236.MY,Matrix Concepts Holdings Berhad
5237.MY,MPHB Capital Berhad
5238.MY,AirAsia X Berhad
5239.MY,Titijaya Land Berhad
5242.MY,Solid Automotive Berhad
5243.MY,VELESTO
5246.MY,Westports Holdings Berhad
5247.MY,Karex Berhad
5248.MY,Berjaya Auto Berhad
5249.MY,IOI Properties Group Berhad
5250.MY,7-Eleven Malaysia Holdings Berhad
5252.MY,Sasbadi Holdings Berhad
5253.MY,ECONBHD
5254.MY,Boustead Plantations Berhad
5255.MY,Icon Offshore Berhad
5256.MY,Reach Energy Berhad
5257.MY,Carimin Petroleum Berhad
5258.MY,BIMB Holdings Berhad
5259.MY,E.A. Technique 
5260.MY,Only World Group Holdings Berhad
5263.MY,SUNCON
5264.MY,MALAKOF
5265.MY,DOLPHIN
5267.MY,XINHWA
5269.MY,ALSREIT
5271.MY,PECCA
5272.MY,RANHILL
5273.MY,CHINHIN
5274.MY,HLCAP
5275.MY,MYNEWS
5276.MY,DANCO
5277.MY,FPGROUP
5278.MY,RHONEMA
5280.MY,KIPREIT
5281.MY,ADVCON
5283.MY,EWINT
5284.MY,LCTITAN
5285.MY,SIMEPLT
5286.MY,MI
5288.MY,SIMEPROP
5289.MY,TECHBND
5291.MY,HPMT
5292.MY,UWC
5293.MY,AME
5295.MY,INNATURE
5296.MY,MRDIY
5297.MY,Tuju Setia Bhd
5298.MY,OM Holdings Ltd
5299.MY,IGB Commercial REIT
5300.MY,Yenher Holdings Bhd
5301.MY,CTOS Digital Bhd
5302.MY,Aurelius Technologies Bhd
5303.MY,Swift Haulage Bhd
5305.MY,Senheng New Retail Bhd
5306.MY,Farm Fresh Bhd
5307.MY,AMEREIT
5308.MY,Seng Fong Holdings Bhd
5309.MY,ITMAX
5310.MY,KITACON
5311.MY,CEB
5347.MY,Tenaga Nasional Berhad
5371.MY,KIMHIN
5398.MY,Gamuda Bhd
5401.MY,TROP
5436.MY,PERSTIM
5517.MY,Shangri-La Hotels Malaysia Bhd
5533.MY,OCB Bhd
5568.MY,APB Resources Berhad
5576.MY,Minho M Bhd
5592.MY,Grand Central Enterprises Bhd
5606.MY,Goldis Berhad
5614.MY,Integrated Logistics Bhd
5622.MY,Triplc Berhad
5649.MY,Golden Pharos Bhd
5657.MY,Parkson Holdings Berhad
5665.MY,Southern Steel Berhad
5673.MY,Ipmuda Berhad
5681.MY,Petronas Dagangan Bhd
5703.MY,Muhibbah Engineering M Bhd
